Diffsec,Nodes,State,Backfilled
514,9,COMPLETED,no
495,9,COMPLETED,no
512,5,COMPLETED,no
517,6,COMPLETED,no
485,1,COMPLETED,yes
507,8,COMPLETED,no
498,9,COMPLETED,no
531,2,COMPLETED,yes
478,2,COMPLETED,yes
510,7,COMPLETED,no
529,4,COMPLETED,no
487,9,COMPLETED,no
516,7,COMPLETED,no
509,3,COMPLETED,yes
497,1,COMPLETED,yes
486,2,COMPLETED,no
519,9,COMPLETED,no
510,8,COMPLETED,no
516,9,COMPLETED,no
513,5,COMPLETED,no
526,10,COMPLETED,no
509,4,COMPLETED,yes
497,4,COMPLETED,no
488,6,COMPLETED,no
505,5,COMPLETED,no
516,4,COMPLETED,no
511,6,COMPLETED,no
496,7,COMPLETED,no
495,4,COMPLETED,yes
481,6,COMPLETED,no
510,2,COMPLETED,yes
512,8,COMPLETED,no
524,8,COMPLETED,no
513,8,COMPLETED,no
531,8,COMPLETED,no
535,3,COMPLETED,no
531,9,COMPLETED,no
538,8,COMPLETED,no
501,4,COMPLETED,no
498,5,COMPLETED,no
481,6,COMPLETED,no
517,8,COMPLETED,no
494,9,COMPLETED,no
515,8,COMPLETED,no
520,9,COMPLETED,no
532,7,COMPLETED,no
484,5,COMPLETED,no
523,4,COMPLETED,no
517,6,COMPLETED,no
519,3,COMPLETED,yes
515,8,COMPLETED,no
529,5,COMPLETED,yes
496,1,COMPLETED,yes
523,3,COMPLETED,no
506,5,COMPLETED,no
511,9,COMPLETED,no
484,9,COMPLETED,no
538,9,COMPLETED,no
484,3,COMPLETED,no
526,8,COMPLETED,no
522,1,COMPLETED,yes
530,10,COMPLETED,no
509,2,COMPLETED,yes
488,8,COMPLETED,yes
485,9,COMPLETED,no
485,1,COMPLETED,yes
532,8,COMPLETED,no
483,9,COMPLETED,no
525,9,COMPLETED,no
487,10,COMPLETED,no
518,5,COMPLETED,no
534,3,COMPLETED,no
488,4,COMPLETED,no
479,6,COMPLETED,no
513,4,COMPLETED,no
501,1,COMPLETED,yes
500,1,COMPLETED,yes
480,10,COMPLETED,no
530,9,COMPLETED,no
477,9,COMPLETED,no
523,5,COMPLETED,no
492,10,COMPLETED,no
501,2,COMPLETED,yes
512,8,COMPLETED,no
504,8,COMPLETED,no
527,4,COMPLETED,no
493,9,COMPLETED,no
497,5,COMPLETED,yes
537,9,COMPLETED,no
526,8,COMPLETED,no
486,8,COMPLETED,no
506,3,COMPLETED,no
477,3,COMPLETED,no
482,4,COMPLETED,no
496,1,COMPLETED,yes
507,8,COMPLETED,no
523,6,COMPLETED,no
495,6,COMPLETED,no
488,8,COMPLETED,no
519,10,COMPLETED,no
477,10,COMPLETED,no
518,1,COMPLETED,yes
515,4,COMPLETED,no
530,3,COMPLETED,no
531,9,COMPLETED,no
516,8,COMPLETED,no
512,8,COMPLETED,no
502,1,COMPLETED,yes
504,4,COMPLETED,no
478,2,COMPLETED,yes
483,1,COMPLETED,yes
481,8,COMPLETED,no
491,3,COMPLETED,yes
518,4,COMPLETED,no
503,7,COMPLETED,no
523,9,COMPLETED,no
536,4,COMPLETED,no
489,6,COMPLETED,no
512,9,COMPLETED,no
493,1,COMPLETED,yes
480,5,COMPLETED,no
515,10,COMPLETED,no
502,2,COMPLETED,no
513,5,COMPLETED,no
499,3,COMPLETED,no
514,1,COMPLETED,yes
527,10,COMPLETED,no
525,1,COMPLETED,yes
525,3,COMPLETED,no
509,4,COMPLETED,no
518,5,COMPLETED,no
480,6,COMPLETED,no
498,2,COMPLETED,yes
515,8,COMPLETED,no
528,2,COMPLETED,no
531,4,COMPLETED,no
529,8,COMPLETED,no
523,5,COMPLETED,no
483,10,COMPLETED,no
489,9,COMPLETED,no
492,7,COMPLETED,no
519,6,COMPLETED,yes
537,6,COMPLETED,no
495,3,COMPLETED,yes
522,8,COMPLETED,no
499,3,COMPLETED,yes
525,2,COMPLETED,yes
496,9,COMPLETED,no
495,7,COMPLETED,no
526,10,COMPLETED,no
513,9,COMPLETED,no
537,9,COMPLETED,no
516,8,COMPLETED,no
486,2,COMPLETED,yes
531,7,COMPLETED,no
525,9,COMPLETED,no
494,6,COMPLETED,no
514,3,COMPLETED,yes
512,5,COMPLETED,no
516,1,COMPLETED,yes
504,8,COMPLETED,no
